231
0x00 Nothing
0x01 Weird two-colour portrait
0x02 Roy
0x03 Clarine
0x04 Fa
0x05 Shin
0x06 Sue
0x07 Dayan
0x08 Barth
0x09 Bors
0x0A Douglas
0x0B Wolt
0x0C Dorothy
0x0D Klein
0x0E Saul
0x0F Elen
0x10 Yodel
0x11 Chad
0x12 Karel
0x13 Fir
0x14 Rutger
0x15 Dieck
0x16 Oujay
0x17 Garet
0x18 Alan
0x19 Lance
0x1A Percival
0x1B Igrene
0x1C Marcus
0x1D Astol
0x1E Ward
0x1F Lot
0x20 Bartre
0x21 Lugh
0x22 Lilina
0x23 Hugh
0x24 Niime
0x25 Rei
0x26 Lalam
0x27 Yunno
0x28 Thito
0x29 Thany
0x2A Zeiss
0x2B Elfin
0x2C Cass
0x2D Sophia
0x2E Miledy
0x2F Gonzales
0x30 Noah
0x31 Treck
0x32 Zealot
0x33 Echidna
0x34 Cecilia
0x35 Geese
0x36 Gale
0x37 Damas
0x38 Rude
0x39 Slater
0x3A Erik
0x3B Dory
0x3C Devias
0x3D Roartz
0x3E Scott
0x3F Flaer
0x40 Oro
0x41 Aine
0x42 Narshen
0x43 Raeth
0x44 Legylance
0x45 Sigune
0x46 Arcard
0x47 Murdock
0x48 Brunya
0x49 Zephiel
0x4A Idoun (no hood)
0x4B Idoun (w/ hood)
0x4C Yahn
0x4D Zinc
0x4E Gel
0x4F William/Robarts
0x50 Bucktoothed bandit
0x51 Generic bandit
0x52 Generic soldier
0x53 Generic peggyknight
0x54 Merlinus
0x55 Merlinus (smaller)
0x56 Eliwood
0x57 Guinevere
0x58 Hector
0x59 Really old-looking king
0x5A Villager
0x5B Villager
0x5C Villager
0x5D Villager
0x5E Villager
0x5F Villager
0x60 Villager
0x61 Villager
0x62 Villager
0x63 Villager
0x64 Villager
0x65 Villager
0x66 Villager
0x67 Villager
0x68 Villager
0x69 Villager
0x6A Villager
0x6B Villager
0x6C Villager
0x6D Villager
0x6E Villager
0x6F Villager
0x70 Villager
0x71 Villager
0x72 Villager
0x73 Villager
0x74 Villager
0x75 Villager
0x76 Villager
0x77 Villager
0x78 Villager
0x79 Villager
0x7A Villager
0x7B Villager
0x7C Villager
0x7D Villager
0x7E Villager
0x7F Villager
0x80 Villager
0x81 Villager
0x82 Villager
0x83 Villager
0x84 Villager
0x85 Villager
0x86 Villager
0x87 Villager
0x88 Villager
0x89 Villager
0x8A Villager
0x8B Villager
0x8C Villager
0x8D Villager
0x8E Villager
0x8F Villager
0x90 Villager
0x91 Villager
0x92 Villager
0x93 Villager
0x94 Villager
0x95 Villager
0x96 Villager
0x97 Villager
0x98 Villager
0x99 Swordfighter enemy card
0x9A Swordmaster enemy card
0x9B Axefighter enemy card
0x9C Warrior enemy card
0x9D Armour Knight enemy card
0x9E General enemy card
0x9F Archer enemy card
0xA0 Sniper enemy card
0xA1 Priest enemy card
0xA2 Bishop enemy card
0xA3 Mage enemy card
0xA4 Sage enemy card
0xA5 Shaman enemy card
0xA6 Druid enemy card
0xA7 Socialknight enemy card
0xA8 Paladin enemy card
0xA9 Troubadour enemy card
0xAA Valkyrie enemy card
0xAB Nomad enemy card
0xAC Nomad Trooper enemy card
0xAD Pegasus Knight enemy card
0xAE Falcon Knight enemy card
0xAF Dragon Knight enemy card
0xB0 Dragon Master enemy card
0xB1 Soldier enemy card
0xB2 Mountain Thief enemy card
0xB3 Pirate enemy card
0xB4 Berserker enemy card
0xB5 Thief enemy card
0xB6 Mamkute enemy card
0xB7 (destroys background)
0xB8 (destroys background)
0xB9 Armoury guy
0xBA Arena guy
0xBB Shop girl
0xBC Anna shopkeeper
0xBD Wendy
0xBE Idoun (dragon form)
0xBF Hector (bloody)
0xC0 Anna
0xC1 Bishop from the orphanage
0xC2 Bishop from the orphanage (shadow)
0xC3 Bishop from the orphanage (shadow)
0xC4 Bishop from the orphanage (shadow)
0xC5 Green Old Sage
0xC6 Ohtz
0xC7 Pereth
0xC8 Orange Old Sage
0xC9 Randy
0xCA Grey Hero
0xCB Henning
0xCC Green Hero
0xCD Monke
0xCE Djute Survivors
0xCF Brown Nomad
0xD0 Another Nomad
0xD1 Rose
0xD2 Maggie
0xD3 Grero
0xD4 Martel
0xD5 Windam
0xD6 Bishop
0xD7 Red Soldier
0xD8 Grey Soldier
0xD9 Green Soldier
0xDA Bronze Soldier
0xDB Really Red Soldier
0xDC Lighter Green Soldier
0xDD Morgan
0xDE Grey-Haired General
0xDF Brown-Haired General
0xE0 Teck
0xE1 Green-Haired Paladin
0xE2 Blonde-Haired Paladin
0xE3 Wagner
0xE4 Nord
0xE5 Green Shaman
0xE6 Olive-Green Shaman
